dim,nthreads,prec,N,cpu_time_ns,real_time_ns,cpu_time_stddev_ns,repetitions,time_unit,l2_cache_bytes,l3_cache_bytes
2,16,d,4500.0,42796871.79999989,48390208.70003879,1136038.3442077464,8,ns,1048576,16777216
2,16,f,4500.0,21827501.799999997,26214352.200076975,385265.8718427051,8,ns,1048576,16777216
2,16,d,8192.0,340753044.79999995,377432973.09989434,22193878.091165427,8,ns,1048576,16777216
2,16,f,8192.0,172761448.70000005,198499484.8999122,9482096.807107512,8,ns,1048576,16777216
2,16,d,12000.0,777922925.5999994,976504156.6000946,48418508.79067858,8,ns,1048576,16777216
2,16,f,12000.0,380505034.6000002,410212309.8000448,8439369.793712862,8,ns,1048576,16777216
2,16,d,16384.0,1713074854.2999983,1773275404.2001035,13405691.0362942,8,ns,1048576,16777216
2,16,f,16384.0,933912862.8999988,971010421.8002015,24256532.287435252,8,ns,1048576,16777216
3,1,d,5.0,4691.7999999999965,4706.200161308517,62.09232181658575,8,ns,1048576,16777216
3,1,f,5.0,3619.7999999999874,3636.9998269947246,130.5044689984829,8,ns,1048576,16777216
3,1,d,8.0,4072.600000000048,4078.79997510463,95.38942738662537,8,ns,1048576,16777216
3,1,f,8.0,7228.500000000006,7243.0999352945955,2239.048348230634,8,ns,1048576,16777216
3,1,d,12.0,12735.899999999963,12748.700100928545,348.9532592523773,8,ns,1048576,16777216
3,1,f,12.0,8831.599999999975,8844.199874147307,542.6313975171431,8,ns,1048576,16777216
3,1,d,18.0,43180.89999999983,43192.899829591624,571.3112630480854,8,ns,1048576,16777216
3,1,f,18.0,28409.29999999992,28428.199948393743,742.0079841696255,8,ns,1048576,16777216
3,1,d,25.0,106844.40000000017,106845.39993235377,954.1618131705545,8,ns,1048576,16777216
3,1,f,25.0,71599.30000000016,71597.09984989604,435.28448497347046,8,ns,1048576,16777216
3,1,d,40.0,373435.39999999956,373454.90000006976,8006.739915802088,8,ns,1048576,16777216
3,1,f,40.0,253994.30000000028,254015.99996257576,1781.9018553628205,8,ns,1048576,16777216
3,1,d,60.0,1361146.8999999987,1361610.9999929904,52987.167661496445,8,ns,1048576,16777216
3,1,f,60.0,947761.5999999994,947833.7999098585,21799.417711160928,8,ns,1048576,16777216
3,1,d,90.0,5542938.900000006,5543974.6998672495,83598.37009676074,8,ns,1048576,16777216
3,1,f,90.0,3543291.500000001,3544348.300056299,24518.641056480406,8,ns,1048576,16777216
3,1,d,128.0,22836349.200000018,22837640.500074487,492489.25883781136,8,ns,1048576,16777216
3,1,f,128.0,11497735.099999985,11502703.899896007,3655021.0985388705,8,ns,1048576,16777216
3,1,d,192.0,87542780.80000013,87557708.60007034,903602.7454965854,8,ns,1048576,16777216
3,1,f,192.0,44749707.099999994,44753905.799916536,578667.1643495483,8,ns,1048576,16777216
3,1,d,405.0,781563661.2000006,784138124.8001199,12729580.773868455,8,ns,1048576,16777216
3,1,f,405.0,431221324.8000003,432965368.3000288,7569152.848685968,8,ns,1048576,16777216
3,1,d,625.0,3417625086.300001,3418722631.600031,249514858.2846911,8,ns,1048576,16777216
3,1,f,625.0,1736380569.9000013,1738011611.1000464,17918326.973044723,8,ns,1048576,16777216
3,1,d,800.0,7059388418.19999,7069998116.399983,172179254.3815892,8,ns,1048576,16777216
3,1,f,800.0,4282373057.900003,4286149427.300006,251359375.27791336,8,ns,1048576,16777216
