dim,prec,M,N_total,N_per_dim,tol,max_sp,subprob,npts,size1,size2,size3,cells,off1,off2,off3
2,d,10000000,9998244,3162,1e-06,2500,274,2500,656,11,1,7216,357,213,0
2,d,10000000,9998244,3162,1e-06,2500,275,2500,669,11,1,7359,1000,213,0
2,d,10000000,9998244,3162,1e-06,2500,276,2500,632,11,1,6952,1645,213,0
2,d,10000000,9998244,3162,1e-06,2500,277,2500,648,11,1,7128,2253,213,0
2,d,10000000,9998244,3162,1e-06,2500,278,2500,3170,15,1,47550,-3,213,0
2,d,10000000,9998244,3162,1e-06,2500,279,2500,659,11,1,7249,333,217,0
2,d,10000000,9998244,3162,1e-06,2500,280,2500,645,11,1,7095,973,217,0
2,d,10000000,9998244,3162,1e-06,2500,281,2500,631,11,1,6941,1598,217,0
2,d,10000000,9998244,3162,1e-06,2500,282,2500,648,11,1,7128,2205,217,0
2,d,10000000,9998244,3162,1e-06,2500,283,2500,3170,15,1,47550,-3,217,0
2,d,10000000,9998244,3162,1e-06,2500,284,2500,664,11,1,7304,285,221,0
2,d,10000000,9998244,3162,1e-06,2500,285,2500,632,11,1,6952,925,221,0
2,d,10000000,9998244,3162,1e-06,2500,286,2500,646,11,1,7106,1535,221,0
2,d,10000000,9998244,3162,1e-06,2500,287,2500,664,11,1,7304,2157,221,0
2,d,10000000,9998244,3162,1e-06,2500,288,2500,3170,15,1,47550,-3,221,0
2,d,10000000,9998244,3162,1e-06,2500,289,2500,647,11,1,7117,269,225,0
2,d,10000000,9998244,3162,1e-06,2500,290,2500,648,11,1,7128,893,225,0
2,d,10000000,9998244,3162,1e-06,2500,291,2500,663,11,1,7293,1517,225,0
2,d,10000000,9998244,3162,1e-06,2500,292,2500,645,11,1,7095,2158,225,0
2,d,10000000,9998244,3162,1e-06,2500,293,2500,3170,15,1,47550,-3,225,0
2,d,10000000,9998244,3162,1e-06,2500,294,2500,644,11,1,7084,237,229,0
2,d,10000000,9998244,3162,1e-06,2500,295,2500,615,11,1,6765,861,229,0
2,d,10000000,9998244,3162,1e-06,2500,296,2500,632,11,1,6952,1453,229,0
2,d,10000000,9998244,3162,1e-06,2500,297,2500,664,11,1,7304,2061,229,0
2,d,10000000,9998244,3162,1e-06,2500,298,2500,3170,15,1,47550,-3,229,0
2,d,10000000,9998244,3162,1e-06,2500,299,2500,662,11,1,7282,174,233,0
2,d,10000000,9998244,3162,1e-06,2500,300,2500,642,11,1,7062,818,233,0
2,d,10000000,9998244,3162,1e-06,2500,301,2500,647,11,1,7117,1437,233,0
2,d,10000000,9998244,3162,1e-06,2500,302,2500,632,11,1,6952,2061,233,0
2,d,10000000,9998244,3162,1e-06,2500,303,2500,3170,15,1,47550,-3,233,0
2,d,10000000,9998244,3162,1e-06,2500,304,2500,664,11,1,7304,141,237,0
2,d,10000000,9998244,3162,1e-06,2500,305,2500,662,11,1,7282,782,237,0
2,d,10000000,9998244,3162,1e-06,2500,306,2500,648,11,1,7128,1421,237,0
2,d,10000000,9998244,3162,1e-06,2500,307,2500,647,11,1,7117,2046,237,0
2,d,10000000,9998244,3162,1e-06,2500,308,2500,3169,15,1,47535,-2,237,0
2,d,10000000,9998244,3162,1e-06,2500,309,2500,632,11,1,6952,141,241,0
2,d,10000000,9998244,3162,1e-06,2500,310,2500,648,11,1,7128,763,241,0
2,d,10000000,9998244,3162,1e-06,2500,311,2500,648,11,1,7128,1389,241,0
