configuration,prec,dim,size,density,tol,upsampfac,complexity,cpu_time_ns,real_time_ns,time_unit
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.3,2240000000.0,380902835.1250001,381917371.8748061,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.35,1920000000.0,360396544.49999994,361323098.2500681,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.4,1920000000.0,359555105.3749999,360519640.2495494,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.45,1920000000.0,360089015.7499999,361071764.5005934,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.5,1920000000.0,360131777.99999994,361060699.0005181,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.55,1920000000.0,359735738.12500036,360699493.8745629,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.6,1920000000.0,356957455.2499999,357922595.1252738,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.65,1600000000.0,338807416.74999994,339729667.75036186,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.7,1600000000.0,338629163.4999998,339567345.1250332,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.75,1600000000.0,338835320.75000036,339782102.5009762,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.8,1600000000.0,338553001.49999934,339453836.8756912,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.85,1600000000.0,338904784.7500004,339807436.87607175,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.9,1600000000.0,339174351.37500006,340031613.0009742,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,1.9500000000000002,1600000000.0,338376876.12500036,339247678.2501035,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,0.0001,2.0,1600000000.0,339444208.7499998,340329330.5000261,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.25,2560000000.0,394575510.12499994,395648222.0000908,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.3,2560000000.0,394168415.50000006,395269602.00055325,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.35,2560000000.0,394342325.125,395390753.7488703,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.4,2560000000.0,393612368.0000001,394676440.62642646,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.45,2240000000.0,390141083.7500001,391205379.000894,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.5,2240000000.0,385505963.25,386502795.8745486,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.55,2240000000.0,385965195.00000024,387018892.1246154,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.6,2240000000.0,385904599.99999994,386957077.50048316,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.65,2240000000.0,385826665.24999976,386849626.6240982,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.7,2240000000.0,385701096.75000006,386765721.74881583,ns
400x400x1-precf-thread1-M1e+07,f,2,400,62.5,1e-05,1.75,1920000000.0,360746945.2499998,361754522.2496119,ns
