dim,density,nthreads,max_sp,M,N_total,rep,spread_s,cycles_total,gather_pct,spread_pct,add_pct,other_pct,gather_cycles,spread_cycles,add_cycles,gather_ms,spread_ms,add_ms
1,32,8,10000,44739242,1398101,0,0.153,20576119076,14.78,5.74,0.06,79.04,3.0412e+09,1.1811e+09,1.2346e+07,109.88,42.67,0.45
1,32,8,35442,44739242,1398101,0,0.16,20714040902,14.01,7.0,0.05,78.56,2.9020e+09,1.4500e+09,1.0357e+07,106.44,53.18,0.38
1,32,8,125614,44739242,1398101,0,0.152,20674137918,14.92,5.35,0.05,79.32,3.0846e+09,1.1061e+09,1.0337e+07,111.61,40.02,0.37
1,32,8,445204,44739242,1398101,0,0.161,20854995038,15.4,5.28,0.03,78.87,3.2117e+09,1.1011e+09,6.2565e+06,119.72,41.05,0.23
1,32,8,1577898,44739242,1398101,0,0.188,21137862771,15.38,5.21,0.04,79.05,3.2510e+09,1.1013e+09,8.4551e+06,140.16,47.48,0.36
1,32,8,5592405,44739242,1398101,0,0.278,21287014129,15.21,5.11,0.05,78.95,3.2378e+09,1.0878e+09,1.0644e+07,207.58,69.74,0.68
1,32,all,10000,44739242,1398101,0,0.0549,60441009136,15.34,2.8,0.27,81.18,9.2717e+09,1.6923e+09,1.6319e+08,45.75,8.35,0.81
1,32,all,23383,44739242,1398101,0,0.0566,60596301661,14.29,3.35,0.17,81.7,8.6592e+09,2.0300e+09,1.0301e+08,45.41,10.65,0.54
1,32,all,54677,44739242,1398101,0,0.064,62768680509,16.43,2.35,0.13,80.52,1.0313e+10,1.4751e+09,8.1599e+07,55.61,7.95,0.44
1,32,all,127851,44739242,1398101,0,0.0747,64326382055,18.4,2.3,0.11,78.59,1.1836e+10,1.4795e+09,7.0759e+07,66.05,8.26,0.39
1,32,all,298956,44739242,1398101,0,0.0782,65162546050,19.26,2.11,0.1,77.94,1.2550e+10,1.3749e+09,6.5163e+07,70.15,7.69,0.36
1,32,all,699051,44739242,1398101,0,0.0888,66370439060,20.36,1.85,0.09,77.16,1.3513e+10,1.2279e+09,5.9733e+07,81.07,7.37,0.36
